0.0 3 
8.810003 3 553
8.822998 3 553
8.831007 3 553
8.84305 3 553
8.851118 3 553
8.863119 3 553
8.872113 4 553
8.884158 4 553
8.892108 4 553
8.904121 4 553
8.9131 4 553
8.925097 4 553
8.933094 4 553
8.945122 4 553
8.953734 4 553
8.965693 4 553
8.973678 4 553
8.986673 4 553
8.994671 4 553
9.006686 4 553
9.01469 4 553
9.027666 4 553
9.035675 4 553
9.047656 4 553
9.056651 4 553
9.068667 4 553
9.076689 4 553
9.0887 4 553
9.096666 4 553
9.109661 4 553
9.11773 4 553
9.129707 4 553
9.1378 4 553
9.150766 4 553
9.158744 4 553
9.170754 4 553
9.178738 4 553
9.190763 4 553
9.199756 4 553
9.211743 4 553
9.219801 4 553
9.231777 4 553
9.240787 4 553
9.252637 4 553
9.260616 4 553
9.272628 4 553
9.281624 1 553
9.293604 1 553
9.301604 1 553
9.313599 1 553
9.322597 1 553
9.334613 1 553
9.346588 1 553
9.354601 1 553
9.367627 1 553
9.375665 1 553
9.387698 1 553
9.395645 1 553
9.408641 1 553
9.416639 1 553
9.428634 1 553
9.436632 1 552
9.449641 1 553
9.457645 1 553
9.469637 1 553
9.477637 1 553
9.489631 1 553
9.498637 1 553
9.510621 1 553
9.518655 1 553
9.531602 1 553
9.539695 1 553
9.551672 1 553
9.559669 1 553
9.571665 1 553
9.580676 1 553
9.592659 2 553
9.60067 2 553
9.612665 2 553
9.62166 2 553
9.633645 2 553
9.641645 2 553
9.653639 2 553
9.662636 2 553
9.674632 2 553
9.68263 2 553
9.695527 0 553
9.70354 0 553
9.715528 0 553
9.723527 0 553
9.735525 0 553
9.744532 0 553
9.75653 0 553
9.764517 0 553
9.776514 0 553
9.78552 0 553
9.797533 4 553
9.80553 4 553
9.817543 4 553
9.826523 4 553
9.838536 4 553
9.846521 4 553
9.858513 4 553
9.86751 4 553
9.879507 4 553
9.887572 4 553
9.899615 2 553
9.907634 2 553
9.920626 2 553
9.928621 2 553
9.94062 2 553
9.948644 2 553
9.961646 2 553
9.969693 2 553
9.98164 2 553
9.989686 2 553
10.002632 1 553
10.014642 1 553
10.022639 1 553
10.034672 1 553
10.042621 1 553
10.055631 1 553
10.063613 1 553
10.07561 1 553
10.083623 1 553
10.096603 1 553
10.104656 4 553
10.116647 4 553
10.124632 4 553
10.137646 4 553
10.145624 4 553
10.157717 4 553
10.165743 4 553
10.178701 4 553
10.186688 4 553
10.199129 4 553
10.206719 3 553
10.218731 3 553
10.227723 3 553
10.239724 3 553
10.247722 3 553
